Date,AEP,COMED,DAYTON,DEOK,DOM,DUQ,EKPC,FE,PJME,PJMW
2012-12-31,397458.0,262625.0,47448.0,75553.0,297982.0,40769.0,0.0,180540.0,798210.0,148844.0
2013-01-01,363262.0,254325.0,44577.0,70931.0,257275.0,38318.0,0.0,169861.0,730587.0,136822.0
2013-01-02,419942.0,293024.0,54276.0,80503.0,281523.0,43320.0,0.0,205432.0,830969.0,154843.0
2013-01-03,434550.0,298284.0,56095.0,82671.0,302457.0,44038.0,0.0,213705.0,860384.0,162467.0
2013-01-04,429182.0,297474.0,53336.0,78331.0,303536.0,43548.0,0.0,205338.0,836589.0,157859.0
2013-01-05,393119.0,270802.0,48723.0,74279.0,276465.0,39977.0,0.0,185442.0,762490.0,145084.0
2013-01-06,365944.0,255196.0,46002.0,71059.0,255372.0,38030.0,0.0,176332.0,717233.0,136279.0
2013-01-07,406619.0,290148.0,52063.0,78426.0,271650.0,42183.0,0.0,199370.0,775191.0,149677.0
2013-01-08,416355.0,284851.0,51970.0,77282.0,287733.0,42094.0,0.0,201535.0,801814.0,154742.0
2013-01-09,390290.0,277831.0,49448.0,72812.0,264062.0,41865.0,0.0,194680.0,798156.0,153174.0
2013-01-10,391757.0,283053.0,51467.0,77549.0,247376.0,41186.0,0.0,197573.0,759603.0,144232.0
2013-01-11,364472.0,268467.0,46187.0,69081.0,263657.0,39599.0,0.0,188371.0,772840.0,140776.0
2013-01-12,318520.0,243864.0,40328.0,62217.0,228762.0,34343.0,0.0,161409.0,680578.0,121238.0
2013-01-13,306726.0,255349.0,37847.0,60686.0,219004.0,32354.0,0.0,155473.0,664968.0,115040.0
2013-01-14,380527.0,298622.0,52269.0,79047.0,227661.0,36377.0,0.0,195690.0,715764.0,130320.0
2013-01-15,411886.0,297887.0,54302.0,82651.0,267424.0,40123.0,0.0,203696.0,776644.0,145900.0
2013-01-16,409066.0,296079.0,52468.0,80466.0,275917.0,41096.0,0.0,201288.0,813496.0,151093.0
2013-01-17,407377.0,288596.0,51566.0,78207.0,275591.0,41125.0,0.0,200285.0,789741.0,149378.0
2013-01-18,411633.0,290470.0,52765.0,79523.0,294901.0,41595.0,0.0,202403.0,812816.0,153722.0
2013-01-19,371518.0,254287.0,44635.0,68373.0,278251.0,36966.0,0.0,172507.0,744443.0,137423.0
2013-01-20,360539.0,264303.0,44344.0,68070.0,243399.0,36266.0,0.0,172366.0,688939.0,127429.0
2013-01-21,434383.0,310091.0,56753.0,83726.0,271589.0,44102.0,0.0,207679.0,821338.0,158227.0
2013-01-22,487307.0,325680.0,62185.0,93374.0,329530.0,47840.0,0.0,225840.0,931795.0,182224.0
2013-01-23,487904.0,321098.0,61060.0,92474.0,358218.0,48374.0,0.0,225784.0,977596.0,185507.0
2013-01-24,471922.0,318512.0,58973.0,89699.0,354864.0,47501.0,0.0,219003.0,960253.0,179946.0
2013-01-25,477192.0,306561.0,57311.0,88632.0,382137.0,46929.0,0.0,219317.0,973238.0,182915.0
2013-01-26,417962.0,276200.0,50295.0,79601.0,333859.0,42011.0,0.0,194635.0,872879.0,160079.0
2013-01-27,404600.0,265639.0,48862.0,78061.0,307394.0,40378.0,0.0,186603.0,831735.0,149488.0
2013-01-28,400002.0,274489.0,50337.0,75426.0,303983.0,42287.0,0.0,199678.0,874443.0,154197.0
2013-01-29,357323.0,268736.0,46058.0,68637.0,242390.0,40208.0,0.0,188463.0,773572.0,132029.0
2013-01-30,349748.0,279206.0,45831.0,68928.0,224849.0,39097.0,0.0,182211.0,732805.0,127672.0
2013-01-31,424211.0,311167.0,55632.0,82998.0,242539.0,42955.0,0.0,208803.0,746314.0,148292.0
2013-02-01,469025.0,322046.0,60323.0,91456.0,310459.0,45628.0,0.0,218572.0,869349.0,170963.0
2013-02-02,449944.0,289514.0,54193.0,83443.0,330045.0,43161.0,0.0,200605.0,861260.0,170371.0
2013-02-03,408051.0,275813.0,49876.0,79420.0,295209.0,41418.0,0.0,187629.0,809553.0,153872.0
2013-02-04,444966.0,298750.0,56340.0,86301.0,313157.0,45138.0,0.0,212262.0,878528.0,165229.0
2013-02-05,416292.0,302124.0,53485.0,80303.0,280263.0,43749.0,0.0,208959.0,857497.0,158343.0
